id_loss,claim_amount,leakage_label,pet_breed,pet_species,owner_age,number_of_previous_claims,days_to_claim,policy_tenure
1,245.71,0,persian,cat,51,3,2,6
2,649.2,1,poodle,dog,33,6,21,31
3,334.58,0,spaniel,dog,46,1,12,28
4,181.13,0,spaniel,dog,36,1,4,57
5,120.84,0,retriever,dog,46,1,5,22
6,167.46,1,maine_coon,cat,44,1,13,25
7,295.92,0,retriever,dog,27,2,4,47
8,219.59,0,spaniel,dog,39,2,8,28
9,236.03,0,persian,cat,35,1,9,21
10,198.1,0,spaniel,dog,44,0,3,49
11,124.79,0,retriever,dog,40,1,2,28
12,375.65,0,persian,cat,50,0,15,48
13,172.67,0,retriever,dog,29,0,3,40
14,104.2,0,poodle,dog,35,1,16,4
15,160.0,0,persian,cat,46,1,2,50
16,264.91,0,ragdoll,cat,43,0,3,2
17,317.6,0,retriever,dog,29,2,6,56
18,349.22,1,ragdoll,cat,25,1,2,31
19,299.78,0,maine_coon,cat,51,1,7,39
20,313.34,0,labrador,dog,22,1,30,22
21,97.39,0,persian,cat,40,2,9,55
22,108.53,0,poodle,dog,38,2,13,23
23,175.1,0,poodle,dog,44,1,18,52
24,207.79,0,labrador,dog,42,1,4,11
25,281.6,0,retriever,dog,22,1,13,5
26,214.6,0,poodle,dog,49,1,13,27
27,308.99,0,poodle,dog,37,0,23,27
28,425.1,0,retriever,dog,42,0,15,34
29,231.42,0,retriever,dog,42,2,24,3
30,134.19,0,persian,cat,40,5,10,22
31,174.09,0,poodle,dog,51,1,11,35
32,385.95,0,persian,cat,63,4,0,28
33,218.87,1,bulldog,dog,48,1,12,16
34,402.19,0,persian,cat,35,0,2,43
35,225.06,0,persian,cat,53,1,10,7
36,228.28,0,retriever,dog,41,3,1,3
37,153.58,1,labrador,dog,57,0,3,45
38,303.57,0,spaniel,dog,40,2,7,32
39,238.42,0,labrador,dog,33,2,17,57
40,150.73,0,retriever,dog,42,1,11,13
41,242.63,0,bulldog,dog,35,1,20,30
42,473.06,0,retriever,dog,43,1,1,21
43,199.5,0,retriever,dog,39,2,2,12
44,226.74,0,spaniel,dog,38,0,15,48
45,172.92,0,bulldog,dog,33,1,10,49
46,421.97,0,maine_coon,cat,32,0,4,20
47,248.68,1,bulldog,dog,35,0,10,34
48,221.06,0,spaniel,dog,35,2,12,57
49,158.49,0,labrador,dog,56,0,15,10
50,695.32,0,siamese,cat,41,2,4,51
51,265.3,1,labrador,dog,59,0,25,27
52,210.28,0,spaniel,dog,55,2,4,48
53,185.86,0,poodle,dog,40,3,11,5
54,110.33,0,persian,cat,35,1,11,11
55,241.09,0,poodle,dog,39,3,9,47
56,510.76,0,poodle,dog,44,3,6,50
57,232.25,1,retriever,dog,55,1,15,16
58,504.1,0,siamese,cat,29,2,16,10
59,165.12,0,spaniel,dog,34,2,20,25
60,273.53,0,poodle,dog,37,1,14,6
61,533.2,0,labrador,dog,50,0,13,41
62,376.09,0,labrador,dog,47,1,11,11
63,176.54,0,retriever,dog,40,2,8,20
64,468.68,0,bengal,cat,53,0,5,15
65,101.54,0,spaniel,dog,58,7,2,4
66,789.34,0,spaniel,dog,27,4,6,4
67,228.61,0,labrador,dog,34,4,3,20
68,200.51,0,poodle,dog,44,2,1,44
69,396.23,0,labrador,dog,32,3,3,43
70,287.74,0,poodle,dog,40,1,7,50
71,223.11,0,labrador,dog,36,1,9,5
72,237.16,0,spaniel,dog,22,2,14,33
73,170.04,0,poodle,dog,33,1,22,18
74,369.3,0,spaniel,dog,32,0,8,53
75,173.7,0,spaniel,dog,42,2,13,25
76,192.94,0,persian,cat,44,1,3,3
77,157.38,0,labrador,dog,45,1,7,55
78,256.46,1,bengal,cat,50,5,28,13
79,119.68,1,spaniel,dog,30,0,18,12
80,153.7,0,retriever,dog,35,1,4,48
81,587.59,0,siamese,cat,32,2,14,9
82,253.07,0,spaniel,dog,37,1,8,28
83,335.89,0,retriever,dog,24,1,3,47
84,664.18,0,bulldog,dog,23,4,17,8
85,145.56,0,spaniel,dog,40,1,20,10
86,184.81,1,maine_coon,cat,19,1,3,19
87,356.32,0,siamese,cat,44,1,8,31
88,217.94,0,labrador,dog,40,1,16,44
89,320.1,0,siamese,cat,32,1,5,4
90,491.26,0,poodle,dog,38,1,9,16
91,375.94,0,spaniel,dog,41,0,20,1
92,276.92,0,ragdoll,cat,38,4,9,4
93,362.43,0,siamese,cat,46,2,12,50
94,261.38,0,labrador,dog,46,1,6,30
95,280.42,0,poodle,dog,24,0,18,28
96,336.24,0,retriever,dog,36,0,2,14
97,341.79,0,retriever,dog,48,2,13,18
98,381.97,0,spaniel,dog,39,2,1,51
99,274.69,0,maine_coon,cat,42,3,9,46
100,140.11,0,persian,cat,49,2,8,51
101,178.23,0,persian,cat,43,3,6,4
102,257.74,0,bengal,cat,42,4,18,1
103,129.71,0,persian,cat,36,1,5,59
104,261.87,0,bengal,cat,35,2,29,56
105,357.73,0,poodle,dog,39,1,7,52
106,496.71,0,retriever,dog,45,1,3,22
107,272.92,0,labrador,dog,40,2,12,11
108,424.94,0,labrador,dog,32,4,9,19
109,254.48,1,retriever,dog,37,1,15,7
110,127.79,0,siamese,cat,26,2,6,27
111,296.7,0,siamese,cat,31,1,10,28
112,175.25,0,labrador,dog,29,3,4,34
113,131.26,1,retriever,dog,49,3,3,3
114,255.76,1,bulldog,dog,27,2,14,43
115,288.52,0,maine_coon,cat,42,2,14,52
116,78.28,0,poodle,dog,29,1,39,13
117,212.78,0,poodle,dog,19,3,6,35
118,203.82,0,retriever,dog,42,3,6,33
119,347.79,0,bulldog,dog,45,3,11,22
120,139.78,0,retriever,dog,58,1,9,51
121,234.36,1,labrador,dog,37,1,6,33
122,387.94,0,labrador,dog,20,2,22,40
123,211.33,0,spaniel,dog,37,1,10,48
124,624.28,0,labrador,dog,50,0,23,4
125,168.67,0,retriever,dog,49,2,1,21
